adm_1_name,Year,Month,YearMonth,dengue_total_month
QUANG NGAI,2005,5,2005-05-01,1.0
QUANG NINH,2005,5,2005-05-01,0.0
QUANG TRI,2005,5,2005-05-01,0.0
SOC TRANG,2005,5,2005-05-01,385.0
SON LA,2005,5,2005-05-01,0.0
TAY NINH,2005,5,2005-05-01,13.0
THAI BINH,2005,5,2005-05-01,0.0
THAI NGUYEN,2005,5,2005-05-01,0.0
THANH HOA,2005,5,2005-05-01,0.0
THUA THIEN - HUE,2005,5,2005-05-01,0.0
TIEN GIANG,2005,5,2005-05-01,129.0
TRA VINH,2005,5,2005-05-01,128.0
TUYEN QUANG,2005,5,2005-05-01,0.0
VINH LONG,2005,5,2005-05-01,27.0
VINH PHUC,2005,5,2005-05-01,0.0
YEN BAI,2005,5,2005-05-01,0.0
AN GIANG,2005,6,2005-06-01,130.0
BA RIA-VUNG TAU,2005,6,2005-06-01,18.0
BAC GIANG,2005,6,2005-06-01,0.0
BAC KAN,2005,6,2005-06-01,0.0
BAC LIEU,2005,6,2005-06-01,100.0
BAC NINH,2005,6,2005-06-01,0.0
BEN TRE,2005,6,2005-06-01,270.0
BINH DINH,2005,6,2005-06-01,8.0
BINH DUONG,2005,6,2005-06-01,13.0
BINH PHUOC,2005,6,2005-06-01,62.0
BINH THUAN,2005,6,2005-06-01,325.0
CA MAU,2005,6,2005-06-01,101.0
CAN THO CITY,2005,6,2005-06-01,70.0
CAO BANG,2005,6,2005-06-01,0.0
DA NANG CITY,2005,6,2005-06-01,0.0
DAK LAK,2005,6,2005-06-01,10.0
DAK NONG,2005,6,2005-06-01,0.0
DIEN BIEN,2005,6,2005-06-01,0.0
DONG NAI,2005,6,2005-06-01,63.0
DONG THAP,2005,6,2005-06-01,280.0
GIA LAI,2005,6,2005-06-01,5.0
HA GIANG,2005,6,2005-06-01,0.0
HA NAM,2005,6,2005-06-01,0.0
HA NOI CITY,2005,6,2005-06-01,26.0
HA TAY,2005,6,2005-06-01,1.0
HA TINH,2005,6,2005-06-01,0.0
HAI DUONG,2005,6,2005-06-01,0.0
HAI PHONG CITY,2005,6,2005-06-01,1.0
HAU GIANG,2005,6,2005-06-01,44.0
HO CHI MINH CITY,2005,6,2005-06-01,155.0
HOA BINH,2005,6,2005-06-01,0.0
HUNG YEN,2005,6,2005-06-01,0.0
KHANH HOA,2005,6,2005-06-01,343.0
KIEN GIANG,2005,6,2005-06-01,242.0
KON TUM,2005,6,2005-06-01,0.0
LAI CHAU,2005,6,2005-06-01,0.0
LAM DONG,2005,6,2005-06-01,3.0
LANG SON,2005,6,2005-06-01,0.0
LAO CAI,2005,6,2005-06-01,1.0
LONG AN,2005,6,2005-06-01,71.0
NAM DINH,2005,6,2005-06-01,0.0
NGHE AN,2005,6,2005-06-01,1.0
NINH BINH,2005,6,2005-06-01,0.0
NINH THUAN,2005,6,2005-06-01,66.0
PHU THO,2005,6,2005-06-01,0.0
PHU YEN,2005,6,2005-06-01,6.0
QUANG BINH,2005,6,2005-06-01,0.0
QUANG NAM,2005,6,2005-06-01,0.0
QUANG NGAI,2005,6,2005-06-01,1.0
QUANG NINH,2005,6,2005-06-01,0.0
QUANG TRI,2005,6,2005-06-01,0.0
SOC TRANG,2005,6,2005-06-01,562.0
SON LA,2005,6,2005-06-01,0.0
TAY NINH,2005,6,2005-06-01,38.0
THAI BINH,2005,6,2005-06-01,0.0
THAI NGUYEN,2005,6,2005-06-01,0.0
THANH HOA,2005,6,2005-06-01,1.0
THUA THIEN - HUE,2005,6,2005-06-01,1.0
TIEN GIANG,2005,6,2005-06-01,303.0
TRA VINH,2005,6,2005-06-01,243.0
TUYEN QUANG,2005,6,2005-06-01,0.0
VINH LONG,2005,6,2005-06-01,58.0
VINH PHUC,2005,6,2005-06-01,0.0
YEN BAI,2005,6,2005-06-01,0.0
AN GIANG,2005,7,2005-07-01,252.0
BA RIA-VUNG TAU,2005,7,2005-07-01,38.0
BAC GIANG,2005,7,2005-07-01,0.0
BAC KAN,2005,7,2005-07-01,0.0
BAC LIEU,2005,7,2005-07-01,119.0
BAC NINH,2005,7,2005-07-01,0.0
BEN TRE,2005,7,2005-07-01,469.0
BINH DINH,2005,7,2005-07-01,3.0
BINH DUONG,2005,7,2005-07-01,39.0
BINH PHUOC,2005,7,2005-07-01,99.0
BINH THUAN,2005,7,2005-07-01,364.0
CA MAU,2005,7,2005-07-01,177.0
CAN THO CITY,2005,7,2005-07-01,128.0
CAO BANG,2005,7,2005-07-01,0.0
DA NANG CITY,2005,7,2005-07-01,0.0
DAK LAK,2005,7,2005-07-01,32.0
DAK NONG,2005,7,2005-07-01,8.0
DIEN BIEN,2005,7,2005-07-01,0.0
DONG NAI,2005,7,2005-07-01,142.0
DONG THAP,2005,7,2005-07-01,552.0
GIA LAI,2005,7,2005-07-01,67.0
HA GIANG,2005,7,2005-07-01,0.0
HA NAM,2005,7,2005-07-01,0.0
HA NOI CITY,2005,7,2005-07-01,72.0
HA TAY,2005,7,2005-07-01,2.0
HA TINH,2005,7,2005-07-01,0.0
HAI DUONG,2005,7,2005-07-01,0.0
HAI PHONG CITY,2005,7,2005-07-01,0.0
HAU GIANG,2005,7,2005-07-01,94.0
HO CHI MINH CITY,2005,7,2005-07-01,235.0
HOA BINH,2005,7,2005-07-01,0.0
HUNG YEN,2005,7,2005-07-01,0.0
KHANH HOA,2005,7,2005-07-01,661.0
KIEN GIANG,2005,7,2005-07-01,275.0
